file,test_name,configured_max_cycles,observed_max_cycles,test_type,notes
cpu-sim/tests/test_alloc_only.rs,test_alloc_only,10000,,success,Success test (uses .expect() or .unwrap())
cpu-sim/tests/test_byte_enable.rs,test_byte_enable_heap_directly,10000,,success,Success test (uses .expect() or .unwrap())
cpu-sim/tests/test_byte_enable.rs,test_byte_enable_stack_memory,10000,,success,Success test (uses .expect() or .unwrap())
cpu-sim/tests/test_device_lifecycle.rs,test_device_clock_cycle_called_every_cycle,1000,,success,Success test (uses .expect() or .unwrap())
cpu-sim/tests/test_device_lifecycle.rs,test_device_reset_called_during_simulation,100,,success,Success test (uses .expect() or .unwrap())
cpu-sim/tests/test_device_lifecycle.rs,test_multiple_devices_receive_lifecycle_calls,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_boundary_at_dram_end,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_boundary_at_dram_start,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_dump_memory_region_outside_dram,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_read_byte_below_dram_range,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_read_halfword_outside_dram_range,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_read_word_outside_dram_range,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_valid_dram_accesses,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_write_memory_above_dram_range,100,,success,Success test (expects Ok result)
cpu-sim/tests/test_memory_bounds.rs,test_write_memory_at_dram_start,1000,,success,Success test (expects Ok result)
cpu-sim/tests/test_memory_bounds.rs,test_write_memory_below_dram_range,100,,success,Success test (expects Ok result)
cpu-sim/tests/test_memory_bounds.rs,test_write_memory_ending_at_dram_end,100,,success,Assumed success test
cpu-sim/tests/test_memory_bounds.rs,test_write_memory_spanning_below_dram,100,,success,Success test (expects Ok result)
cpu-sim/tests/test_memory_latency.rs,test_comprehensive_elf_with_latency,1000,68,success,Success test (uses .expect() or .unwrap())
cpu-sim/tests/test_memory_latency.rs,test_load_store_with_latency,200,44,success,Success test (uses .expect() or .unwrap())
cpu-sim/tests/test_memory_latency.rs,test_multi_cycle_memory_latency,100,25,success,Success test (uses .expect() or .unwrap())
cpu-sim/tests/test_memory_latency.rs,test_zero_latency_default,100,13,success,Success test (uses .expect() or .unwrap())
